customer_id,age,location,subscription_type,payment_plan,num_subscription_pauses,payment_method,customer_service_inquiries,signup_date,weekly_hours,average_session_length,song_skip_rate,weekly_songs_played,weekly_unique_songs,num_favorite_artists,num_platform_friends,num_playlists_created,num_shared_playlists,notifications_clicked,churned
53,61.0,Florida,Family,Monthly,4,Debit Card,Low,-2397,,44.60907711,0.417035033,27,36,33,102,94,0,36,0
54,22.0,New York,Family,Yearly,0,Debit Card,Medium,-2219,,47.65437198,0.922657115,337,93,38,85,46,31,20,0
55,34.0,Nebrasksa,Family,Yearly,3,Debit Card,High,-2393,13.69697339,13.76596624,0.872201258,471,62,20,141,17,7,15,1
56,77.0,Wisconsin,Student,Yearly,0,Apple Pay,Low,-1361,8.50184512,44.39214405,0.524741567,37,199,7,17,96,6,20,0
57,45.0,Montana,Student,Monthly,3,Paypal,Medium,-456,2.988382948,30.99255704,0.003825205,358,28,40,135,87,14,18,1
58,69.0,Virginia,Student,Yearly,4,Credit Card,Medium,-2106,7.869403446,101.1897787,0.089879051,441,185,2,192,1,6,46,1
59,33.0,Idaho,Student,Yearly,1,Apple Pay,Medium,-1923,16.71077004,88.12978575,0.790345542,115,18,40,1,18,19,27,1
60,58.0,Idaho,Free,Monthly,0,Apple Pay,Medium,-2323,29.3980463,75.60024946,0.954270004,238,288,43,59,82,3,36,1
61,75.0,Montana,Premium,Monthly,4,Debit Card,Medium,-2251,37.09854916,74.21915264,0.947389587,227,110,19,157,86,31,14,1
62,34.0,Wisconsin,Premium,Monthly,3,Debit Card,High,-232,39.23356755,87.06463927,0.658082611,431,268,45,24,78,37,1,1
63,66.0,Maine,Premium,Yearly,2,Apple Pay,Medium,-1739,3.345611003,83.44094574,0.732063896,248,218,24,104,38,18,10,1
64,58.0,Utah,Student,Yearly,4,Credit Card,High,-714,48.45646581,38.19112689,0.221736092,112,104,40,186,85,37,22,1
65,18.0,Utah,Student,Monthly,4,Debit Card,Medium,-1912,11.32585633,73.26838373,0.90292663,185,151,7,84,36,5,37,1
66,73.0,Maine,Family,Monthly,2,Paypal,High,-80,46.4010769,69.42127066,0.445846701,7,110,48,190,29,46,39,0
67,46.0,California,Family,Yearly,4,Paypal,High,-489,26.84160948,9.027887575,0.694210226,485,184,27,21,24,33,11,0
68,74.0,West Virginia,Family,Yearly,3,Apple Pay,Low,-780,4.428294861,109.6453191,0.601559029,323,112,31,162,4,34,36,1
69,54.0,Wisconsin,Premium,Monthly,3,Credit Card,High,-1296,26.76999262,22.49568288,0.465161999,184,38,4,105,96,37,10,1
70,,Alabama,Free,Yearly,1,Debit Card,High,-1649,18.64550069,43.60946241,0.055564583,456,48,33,24,90,44,4,1
71,25.0,Virginia,Student,Monthly,2,Paypal,Medium,-2713,46.55484346,57.89278541,0.455648353,235,118,1,5,39,0,18,0
72,23.0,Maine,Student,Yearly,0,Debit Card,High,-1287,21.3707828,21.18974264,0.388264627,267,116,23,32,94,41,27,1
73,,New York,Student,Yearly,3,Paypal,High,-1245,7.431151391,53.71053065,0.558385594,303,289,31,168,30,23,17,1
74,20.0,Georgia,Student,Yearly,4,Debit Card,Low,-434,20.77573967,11.35876912,0.425316305,124,116,11,49,68,21,11,0
75,24.0,Vermont,Free,Monthly,3,Paypal,High,-1949,14.35329972,25.23194376,0.204418168,440,12,17,51,19,18,48,1
76,44.0,Georgia,Student,Monthly,2,Credit Card,Medium,-2458,26.60495783,79.91419616,0.575396078,156,63,35,7,15,35,30,0
77,77.0,North Dakota,Student,Yearly,2,Credit Card,High,-2644,22.23303802,8.012755787,0.764854982,359,276,15,77,89,1,12,1
78,,Wisconsin,Premium,Yearly,2,Paypal,High,-802,42.01092174,71.93139298,0.758071297,118,259,34,11,63,6,10,0
79,30.0,Wisconsin,Premium,Monthly,4,Credit Card,Medium,-265,34.13697058,12.5608464,0.760666264,490,65,40,181,74,4,28,0
80,29.0,Maine,Student,Monthly,1,Debit Card,Low,-2907,14.87553449,67.86275171,0.155322974,296,31,5,1,13,32,12,0
81,60.0,Georgia,Premium,Yearly,3,Paypal,Low,-1568,33.67987374,2.613548749,0.517255693,56,233,40,128,43,36,26,0
82,33.0,Virginia,Student,Yearly,4,Paypal,High,-1496,,112.693823,0.433419941,373,28,27,35,31,5,10,1
83,50.0,North Carolina,Student,Yearly,2,Credit Card,Medium,-941,18.96980904,103.0336935,0.262092364,448,292,11,55,56,5,18,1
84,73.0,West Virginia,Premium,Monthly,3,Credit Card,Low,-1735,12.3613173,97.81059011,0.362155811,360,8,6,84,5,34,46,0
85,76.0,Maine,Free,Monthly,2,Credit Card,Low,-2033,3.45877404,35.52927065,0.874502913,213,180,21,78,33,32,2,1
86,25.0,Utah,Free,Yearly,1,Apple Pay,Low,-1745,32.1645631,25.0630137,0.243390929,452,231,30,171,89,20,43,0
87,37.0,North Carolina,Free,Yearly,0,Apple Pay,Low,-2679,19.24962467,20.00067195,0.7936474,369,140,19,106,22,27,44,1
88,77.0,Nebrasksa,Student,Monthly,1,Apple Pay,High,-1226,15.78096171,117.0014362,0.030729264,305,150,2,54,11,40,16,1
89,57.0,Vermont,Student,Yearly,0,Debit Card,Low,-683,,54.8248658,0.622032084,254,61,47,138,66,12,26,0
90,26.0,North Dakota,Free,Yearly,2,Apple Pay,Medium,-270,10.57707749,68.81346337,0.813062487,84,230,28,193,22,24,4,1
91,54.0,California,Premium,Yearly,4,Debit Card,Medium,-2161,29.99120828,55.28324852,0.202883593,236,151,2,133,63,43,27,0
92,39.0,Vermont,Premium,Monthly,2,Paypal,Medium,-1014,6.872238234,73.50610025,0.005083441,96,98,3,194,17,14,20,0
93,35.0,Washington,Student,Monthly,1,Apple Pay,Medium,-1015,27.81684474,62.66057253,0.842539411,416,136,49,145,27,8,33,0
94,23.0,North Carolina,Student,Yearly,2,Debit Card,Low,-1936,6.941124476,27.67675727,0.056507867,412,129,27,3,67,9,4,1
95,48.0,California,Free,Monthly,4,Credit Card,Medium,-1424,5.854653211,38.31394544,0.496604072,214,19,27,195,11,6,32,1
96,35.0,New Jersey,Free,Monthly,1,Debit Card,Medium,-2397,13.12711144,112.0761457,0.873698687,398,234,35,17,22,36,32,1
97,47.0,Virginia,Student,Yearly,3,Credit Card,Low,-2635,42.21895943,110.4099954,0.78155046,353,124,5,18,41,4,9,0
98,65.0,,Family,Monthly,1,Paypal,Medium,-2385,17.85910941,102.395556,0.207312743,411,239,20,193,76,21,36,0
99,58.0,Maine,Student,Yearly,1,Debit Card,Low,-1286,19.53300824,95.52622674,0.652055883,294,91,7,133,91,8,12,0
100,47.0,North Carolina,Free,Yearly,2,Debit Card,High,-263,5.503509403,17.75339761,0.212225632,82,263,23,105,6,40,24,1
101,79.0,Alabama,Family,Yearly,2,Paypal,Low,-2053,35.4709175,55.43253398,0.497849353,209,37,12,149,88,49,46,0
102,44.0,Georgia,Student,Yearly,0,Apple Pay,High,-1210,,67.82946252,0.484687412,406,238,16,59,59,49,27,0
103,27.0,North Carolina,Student,Monthly,0,Debit Card,Low,-2346,1.882874633,18.89968552,0.546749708,406,21,20,94,46,21,14,1
104,47.0,California,Student,Monthly,4,Paypal,Low,-2697,36.85644703,65.85300465,0.01631508,144,128,13,89,71,25,48,0
105,42.0,Florida,Free,Monthly,4,Credit Card,High,-2008,39.62842473,12.43816267,0.401556502,366,295,10,141,29,39,10,1
106,35.0,North Carolina,Student,Yearly,2,Paypal,Low,-2387,5.426748291,17.4032644,0.756257312,131,296,31,98,2,20,9,0
107,18.0,New Jersey,Family,Yearly,2,Apple Pay,High,-1550,13.28592564,114.8756847,0.142045029,212,11,24,172,4,17,13,0
108,20.0,Maine,Premium,Monthly,3,Debit Card,Low,-2832,31.96556952,11.22943511,0.974362185,146,237,3,22,69,49,24,1
109,70.0,Wisconsin,Free,Yearly,2,Apple Pay,Low,-652,3.199324052,8.366868805,0.947117273,176,166,26,8,60,21,1,1
110,44.0,North Dakota,Family,Monthly,3,Apple Pay,High,-79,36.9696389,85.22125461,0.696920407,15,56,25,39,54,26,25,0
111,65.0,Idaho,Free,Monthly,4,Apple Pay,High,-235,22.33555535,109.5955063,0.233092871,205,199,4,54,6,45,3,1
112,18.0,Idaho,Student,Monthly,4,Debit Card,Medium,-227,37.6076677,116.0728523,0.207113276,367,59,10,192,82,40,36,1
113,21.0,Virginia,Premium,Yearly,2,Apple Pay,Low,-324,28.08532636,48.65880824,0.586123345,264,235,15,176,58,16,47,0
114,67.0,West Virginia,Premium,Yearly,1,Apple Pay,Low,-2907,12.73931744,78.98666452,0.185731718,286,229,31,182,58,1,44,0
115,52.0,Wisconsin,Family,Yearly,3,Credit Card,Medium,-441,27.1715737,87.56171869,0.147099888,480,142,49,93,4,1,17,0
116,68.0,South Carolina,Student,Yearly,1,Debit Card,High,-2612,44.55446759,101.4973435,0.802681845,450,27,5,38,82,23,35,1
117,,West Virginia,Free,Yearly,2,Debit Card,Low,-2048,19.24360102,60.93157351,0.437265714,31,278,45,179,42,36,5,0
118,61.0,Virginia,Family,Monthly,0,Apple Pay,Low,-770,37.75233033,13.59135211,0.380699992,170,269,15,126,29,32,27,0
119,61.0,Georgia,Free,Monthly,4,Credit Card,Medium,-971,,28.35172861,0.173430111,267,207,47,181,99,46,20,1
120,21.0,Wisconsin,Student,Yearly,0,Debit Card,Low,-54,16.44794695,24.98545119,0.671642251,286,154,8,143,87,20,19,0
121,,Florida,Family,Yearly,2,Credit Card,High,-1006,12.47156129,80.14105171,0.318516617,474,91,28,118,28,45,26,0
122,62.0,Wisconsin,Premium,Monthly,2,Paypal,High,-484,44.97355113,105.7116966,0.198174888,398,181,43,111,59,11,30,0
123,48.0,Maine,Family,Monthly,3,Credit Card,Low,-2120,44.58464829,59.16129428,0.003938652,323,233,29,192,0,26,14,0
124,74.0,Georgia,Student,Yearly,0,Paypal,High,-2385,22.5230017,109.6079197,0.946624271,291,254,34,123,89,4,19,1
125,74.0,North Dakota,Free,Monthly,0,Debit Card,Low,-2286,20.28520188,97.36488648,0.374934825,5,56,3,60,85,29,1,0
126,34.0,Montana,Student,Monthly,1,Apple Pay,Medium,-2510,40.16737019,72.95429107,0.188034248,293,212,10,14,80,32,20,0
127,56.0,Vermont,Free,Yearly,4,Debit Card,Low,-1039,,2.25839425,0.903135239,61,189,43,83,76,35,25,1
128,37.0,North Dakota,Premium,Monthly,4,Debit Card,Medium,-2693,28.39923189,46.81959969,0.490227147,313,111,43,51,23,43,18,0
129,71.0,Montana,Free,Yearly,1,Paypal,High,-624,,89.45490616,0.287526775,157,178,14,118,41,6,21,1
130,62.0,Wisconsin,Family,Yearly,0,Apple Pay,Medium,-667,26.61621869,115.2320813,0.049589383,160,48,25,94,79,3,27,0
131,23.0,Florida,Premium,Monthly,1,Credit Card,Medium,-534,21.67971057,6.874624957,0.40235178,95,140,45,4,10,6,33,0
132,65.0,California,Free,Monthly,2,Apple Pay,Low,-2657,19.93167643,63.14986404,0.200862923,26,226,3,190,11,32,34,0
133,50.0,Washington,Family,Monthly,1,Paypal,High,-115,17.21996272,19.40282678,0.748201689,213,259,17,76,18,24,16,0
134,58.0,Washington,Free,Monthly,1,Paypal,Low,-1619,4.666800296,2.997014985,0.772626082,137,74,46,130,36,49,21,1
135,65.0,Wisconsin,Family,Monthly,2,Apple Pay,Low,-1546,32.64772336,97.67337241,0.038726963,318,151,38,46,40,22,16,0
136,27.0,Maine,Free,Yearly,1,Paypal,Low,-1070,15.26773479,43.98816839,0.427101597,300,266,27,103,96,24,20,0
137,50.0,Montana,Free,Yearly,0,Debit Card,Low,-2744,15.00709778,104.3555621,0.684657688,53,298,8,33,19,13,38,0
138,66.0,Washington,Free,Yearly,0,Paypal,Medium,-652,4.396539577,41.91318359,0.421884079,151,209,40,161,63,12,26,1
139,28.0,Idaho,Student,Yearly,2,Paypal,Medium,-674,44.12681337,87.22149469,0.396877052,55,25,16,99,25,46,41,0
140,60.0,New Jersey,Student,Yearly,0,Paypal,Low,-2768,11.35221774,9.965327195,0.995611962,49,67,1,5,62,8,5,0
141,19.0,New Jersey,Free,Monthly,0,Credit Card,High,-2494,0.175762993,103.0413923,0.380920197,128,214,45,31,78,15,25,1
142,28.0,West Virginia,Premium,Yearly,2,Credit Card,Medium,-2724,49.31867192,38.13067465,0.393623834,215,40,34,77,27,35,39,0
143,70.0,South Carolina,Family,Monthly,0,Debit Card,Low,-364,38.60852409,40.96912716,0.23822159,243,256,15,59,28,36,9,0
144,54.0,Georgia,Student,Yearly,2,Apple Pay,Low,-850,9.87941508,78.77712655,0.188608115,428,157,2,88,8,20,0,0
145,23.0,Wisconsin,Free,Monthly,2,Paypal,Low,-80,6.67495268,55.21279123,0.017963917,215,182,15,78,4,19,30,1
146,,Florida,Free,Monthly,0,Credit Card,High,-1573,12.82435099,9.982862507,0.598476618,416,188,27,15,24,44,6,1
147,62.0,Montana,Student,Monthly,4,Apple Pay,Low,-2185,30.44743593,113.1988057,0.859971785,365,27,40,184,29,16,31,1
148,38.0,West Virginia,Family,Monthly,3,Credit Card,Low,-2908,,101.2323945,0.908841914,78,154,15,192,32,19,36,0
149,34.0,California,Premium,Yearly,1,Debit Card,High,-1361,33.80577602,14.63901581,0.384926039,20,89,28,157,71,24,5,0
150,21.0,North Dakota,Student,Monthly,3,Paypal,Low,-1708,46.57924221,27.91702786,0.685870544,448,232,39,34,18,22,46,0
151,24.0,Washington,Premium,Yearly,0,Paypal,High,-2613,39.41169749,11.94417427,0.749300244,370,242,27,81,36,19,42,1
152,30.0,South Carolina,Premium,Monthly,1,Paypal,High,-583,10.18577475,76.41501123,0.286368397,154,251,11,84,49,21,19,0
153,56.0,Vermont,Free,Yearly,1,Debit Card,Medium,-2040,47.05980161,45.21594902,0.664198994,178,98,6,70,99,13,7,1
154,63.0,Idaho,Premium,Monthly,0,Apple Pay,Medium,-2609,40.9127853,71.57773701,0.719571695,341,268,7,94,19,40,8,0
155,53.0,New Jersey,Free,Monthly,3,Credit Card,Medium,-824,32.88827597,74.30017481,0.243455904,382,108,8,0,93,49,10,1
156,72.0,Washington,Family,Monthly,3,Debit Card,Medium,-172,7.576780623,63.2054452,0.949129806,28,57,9,192,39,14,41,1
157,43.0,New York,Family,Yearly,1,Paypal,Medium,-2737,10.50105627,41.20034124,0.064859269,487,284,28,127,86,41,14,0
158,45.0,Alabama,Student,Monthly,3,Debit Card,High,-2094,14.78454023,79.61794353,0.896559162,445,257,46,158,1,3,14,1
159,28.0,Alabama,Student,Yearly,1,Credit Card,Low,-1269,,37.99923051,0.519815163,158,179,46,186,77,32,3,1
160,39.0,Florida,Family,Yearly,3,Debit Card,Medium,-316,9.902932182,109.9144582,0.043708863,443,192,39,40,82,8,35,1
161,62.0,Florida,Family,Yearly,2,Credit Card,High,-145,24.57577443,109.5395429,0.460687064,458,82,43,88,82,7,24,0
162,28.0,Wisconsin,Premium,Monthly,0,Debit Card,Low,-2214,5.624725912,50.59127697,0.62252523,423,148,23,144,32,35,35,0
163,,South Carolina,Student,Yearly,4,Apple Pay,Low,-2750,24.51175774,112.768247,0.980766942,362,80,37,118,67,30,3,1
164,,Florida,Student,Yearly,4,Paypal,High,-2342,44.66580426,75.89621702,0.894794871,101,78,43,36,66,16,47,1
165,31.0,Vermont,Premium,Monthly,2,Paypal,High,-13,10.79315419,75.7975362,0.470081303,268,280,43,172,5,9,24,0
166,33.0,Montana,Family,Yearly,1,Credit Card,Low,-266,26.69096302,104.0743733,0.750219507,19,116,15,47,89,10,46,0
167,38.0,West Virginia,Free,Monthly,4,Credit Card,Low,-1366,28.65301717,13.85089524,0.269415102,330,91,40,5,78,1,45,1
168,70.0,New Jersey,Premium,Yearly,0,Credit Card,High,-825,12.68191559,109.2816783,0.046543939,282,133,6,73,43,26,17,1
169,56.0,New Jersey,Premium,Monthly,3,Paypal,Medium,-1232,,56.2434722,0.402256277,7,182,12,34,18,13,16,1
170,70.0,New York,Free,Yearly,4,Apple Pay,Low,-2138,7.735517818,61.46913013,0.84885779,295,157,37,121,96,16,17,1
171,62.0,Montana,Free,Monthly,3,Apple Pay,Low,-786,1.468398525,56.22900553,0.330876463,314,140,24,91,40,40,25,1
172,75.0,North Carolina,Free,Yearly,0,Apple Pay,Low,-2445,22.9216774,21.58681639,0.614056205,256,267,22,151,94,16,4,1
173,40.0,Florida,Student,Monthly,0,Credit Card,High,-1420,39.1199688,5.252333265,0.010610044,226,53,38,30,6,41,16,0
174,23.0,Montana,Free,Monthly,4,Credit Card,Low,-1972,,119.6135315,0.93298336,416,205,24,174,79,8,47,1
175,23.0,West Virginia,Student,Monthly,3,Debit Card,Medium,-1623,,94.15517148,0.419793548,467,44,3,4,17,36,16,1
176,34.0,Utah,Premium,Monthly,1,Debit Card,Medium,-341,28.05450499,42.17913425,0.421488308,173,200,0,43,43,4,1,0
177,39.0,New York,Free,Monthly,1,Paypal,Low,-2624,33.54771937,97.15830674,0.001504683,267,145,0,121,17,15,43,0
178,20.0,Washington,Student,Yearly,1,Credit Card,High,-654,23.1549815,2.515879887,0.737263738,43,7,39,105,70,32,39,1
179,73.0,Georgia,Student,Monthly,3,Credit Card,High,-2890,45.34023435,29.15463514,0.236735993,103,25,46,143,14,3,19,1
180,43.0,Montana,Student,Yearly,0,Credit Card,Low,-1478,44.28928851,18.9525948,0.359880072,328,170,10,21,16,36,33,0
181,37.0,West Virginia,Free,Monthly,3,Paypal,High,-2367,43.12664241,47.21840991,0.682001829,290,101,13,63,43,26,13,1
182,50.0,North Carolina,Student,Yearly,4,Credit Card,Low,-2823,43.71585041,63.48306792,0.073445042,353,208,38,66,31,29,36,0
183,29.0,Alabama,Premium,Yearly,3,Paypal,Low,-887,7.544310664,53.76747182,0.421138676,12,9,16,58,69,28,15,0
184,28.0,Washington,Student,Monthly,4,Credit Card,Low,-1282,21.92454616,86.97140019,0.49813701,307,46,47,191,78,10,15,0
185,61.0,California,Premium,Monthly,4,Apple Pay,Low,-885,3.851873311,98.4829475,0.433562867,343,213,44,78,99,41,35,1
186,27.0,West Virginia,Free,Yearly,4,Apple Pay,Low,-2579,30.14953159,98.35373731,0.933265562,251,14,0,137,78,16,32,1
187,77.0,Virginia,Student,Yearly,0,Paypal,High,-2150,22.05756888,119.7775691,0.139673741,473,166,11,52,19,34,17,1
188,54.0,Maine,Free,Monthly,1,Apple Pay,Low,-1514,26.94134629,75.23475276,0.8762103,88,142,27,88,71,38,11,0
189,49.0,Maine,Free,Monthly,3,Credit Card,High,-226,35.69156432,98.83079045,0.425677773,248,123,7,56,50,0,33,1
190,77.0,North Carolina,Family,Yearly,0,Apple Pay,Low,-2108,17.30949425,11.28955679,0.586778107,490,281,38,50,99,40,38,0
191,37.0,Georgia,Premium,Monthly,0,Credit Card,Low,-2724,11.71022793,34.06341183,0.830929109,274,16,30,119,95,42,45,0
192,33.0,Vermont,Student,Yearly,2,Paypal,Low,-572,14.39608899,83.72264951,0.26326368,343,143,2,131,7,42,21,0
193,25.0,Alabama,Family,Monthly,1,Debit Card,Medium,-1396,30.62579832,24.71311166,0.10715606,447,54,46,168,80,34,44,0
194,32.0,North Carolina,Free,Yearly,4,Credit Card,High,-1545,33.34020501,107.49592,0.272511348,204,51,18,6,8,34,31,1
195,,Wisconsin,Family,Monthly,4,Credit Card,High,-980,38.99255546,89.52715432,0.595046577,421,135,2,124,90,7,37,1
196,75.0,North Carolina,Free,Yearly,1,Apple Pay,Medium,-2614,,57.31286282,0.236490252,168,147,1,148,62,0,17,1
197,47.0,New York,Premium,Yearly,2,Credit Card,Low,-2238,3.637156713,27.74165151,0.774770581,379,206,29,141,66,11,9,1
198,25.0,South Carolina,Student,Yearly,0,Apple Pay,Medium,-349,39.65176765,96.590877,0.914142499,11,84,46,180,97,17,14,1
199,69.0,North Carolina,Premium,Monthly,0,Paypal,Low,-2791,32.2969824,76.1080312,0.360397658,498,292,47,27,90,2,7,0
200,26.0,North Dakota,Free,Monthly,3,Debit Card,Low,-1782,26.38625074,41.13868952,0.542455967,214,125,46,18,61,8,43,1
201,47.0,Alabama,Premium,Monthly,3,Apple Pay,Medium,-2171,26.62709518,18.32481977,0.885698858,328,30,22,29,46,30,13,1
202,68.0,Wisconsin,Family,Yearly,0,Apple Pay,Medium,-151,23.95886856,34.82634918,0.285284939,245,247,12,109,90,6,17,0
203,71.0,Washington,Premium,Yearly,3,Paypal,Medium,-2511,35.14491195,36.81524629,0.708757358,287,116,35,163,14,49,30,1
204,,New York,Family,Yearly,0,Paypal,Medium,-1771,,108.776021,0.943355413,163,46,44,43,68,31,47,0
